(Re)Create Webhooks,(Re)Créer des Webhooks,
%1 is too long. The maximum length is %2 characters.,%1 est trop long. La longueur maximale est de %2 caractères.,
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Si vous prévoyez de ne plus utiliser le module TreviPay, veuillez supprimer les webhooks créés afin que TreviPay cesse d'envoyer des mises à jour à votre site Magento. Pour ce faire, cliquez sur le bouton <strong>Supprimer les Webhooks</strong>.</p><p>Veuillez noter que les webhooks peuvent être (re)créés à tout moment en cliquant sur le bouton <strong>(Re)créer des webhooks</strong>.</p>",
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Il semble que la <strong>Clé API</strong> ait été modifiée récemment ou que le statut du <strong> mode Sandbox</strong> ait été changé.</p><p>Veuillez revoir les paramètres et une fois que vous avez confirmé que tout est configuré correctement, cliquez sur le bouton <strong>Vérifier les Webhooks créés</strong>. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>clé API</strong> actuellement configurée (ou <strong>clé API Sandbox</strong> si le <strong>mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>}Il semble que l'<strong>URL de base</strong> du site Web ait été modifiée récemment.</p><p>Veuillez revoir les paramètres et une fois que vous aurez confirmé que tout est configuré correctement, cliquez sur le bouton <strong>Vérifier les webhooks créés</strong>. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>clé API</strong> actuellement configurée (ou <strong>clé API Sandbox</strong> si le <strong>mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay ou s'ils sont créés mais en utilisant l'ancien <strong>URL de base</strong> du site Web, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Veuillez noter que cela pourrait être correct si vos sites Web ne nécessitent pas de programmes TreviPay distincts, car les webhooks ne peuvent être déclenchés que vers l'URL de votre site Web principal.</p><p>Si vous souhaitez utiliser plusieurs programmes TreviPay, veuillez revoir les paramètres et cliquer sur le bouton <strong>Vérifier les webhooks créés</strong> après avoir confirmé que tout est correctement paramétré. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>Clé API</strong> actuellement configurée (ou <strong>Clé API Sandbox</strong> si le <strong>Mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay ou s'ils sont créés mais en utilisant l'ancien <strong>URL de base</strong> du site Web, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Veuillez revoir les paramètres et une fois que vous avez confirmé que tout est configuré correctement, cliquez sur le bouton <strong>Vérifier les Webhooks créés</strong>. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>Clé API</strong> actuellement configurée (ou <strong>Clé API Sandbox</strong> si le <strong>Mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
A customer website ID wasn't specified. The ID must be specified to use the website scope.,Aucun identifiant de site Web client n'a été spécifié. L’identifiant doit être spécifié pour utiliser la portée du site Web.,
Accepted Currency,Devise acceptée,
Accounts Payable Integration,Intégration des comptes fournisseurs,
Active buyers only,Acheteurs actifs uniquement,
Adjustment Fee,Frais d'ajustement,
Adjustment Refund,Remboursement d'ajustement,
All customers,Tous les clients,
Already have account?,Vous avez déjà un compte ?,
"An error occurred with the following message: ""%1"". Please check the exception log for more details.",Une erreur s'est produite avec le message suivant : « %1 ». Veuillez consulter le journal des exceptions pour plus de détails.,
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","Une erreur s'est produite avec le message suivant : « %1 ». Veuillez activer le mode débogage, réessayer et consulter le journal de débogage pour plus de détails.",
"Any empty TreviPay fields will be populated when the Magento Customer signs in to the TreviPay Checkout App, or the TreviPay Customer and TreviPay Buyer status is no longer pending","Tout champ TreviPay laissé vide sera automatiquement complété lorsque le client Magento se connectera à l'application de paiement TreviPay, ou que le statut du client TreviPay et de l'acheteur TreviPay ne sera plus en attente.",
API Key,Clé API,
API key does not match your webhooks API key,La clé API ne correspond pas à la clé API de vos webhooks,
API key matching webhooks,Clé API correspondant aux webhooks,
API URL,URL de L'API,
API URL is not set.,L'URL de l'API n'est pas définie.,
Apply for Credit,Demander un crédit,
Apply for TreviPay,Faire une demande à %1,
Apply Now,Postuler maintenant,
Approval for a Line of Credit,Approbation d'une ligne de crédit,
Approved Limit,Limite approuvée,
Are you sure you want to delete the webhooks?,Voulez-vous vraiment supprimer les webhooks ?,
authorization,autorisation,
Authorization transaction is required to void.,Une transaction d'autorisation est nécessaire pour l'annulation.,
Authorize Only,Autoriser uniquement,
Authorized,Autorisé,
Availability,Disponibilité,
Available,Disponible,
Balance,Solde,
Base URL matching webhooks Base URL,URL de base correspondant à l'URL de base des webhooks,
Base URL not matching webhooks Base URL,URL de base ne correspondant pas à l'URL de base des webhooks,
Business Name,Dénomination sociale,
Buyer ID (first 8 characters),Identifiant d'acheteur (8 premiers caractères),
Cancel,Annuler,
Cannot link account. You are not permitted to purchase.,Impossible de lier le compte. Vous n'êtes pas autorisé(e) à commander.,
Cannot void the authorization transaction because its status is %1.,Impossible d'annuler la transaction d'autorisation car son statut est %1.,
Cannot void the authorization transaction.,Impossible d'annuler la transaction d'autorisation.,
charge,frais,
Check Created Webhooks,Vérifier les Webhooks créés,Check Created Webhooks
Client Reference ID,Numéro de client,
Close,Fermer,
Company Wide Purchasing,Achats à l'échelle de l'entreprise,
Connect with Purchase Orders,Se connecter avec les bons de commande,
"Continuing to Apply will complete your checkout, placing the order as 'Pending' and will be automatically processed after a successful credit application approval and activation.","En sélectionnant Appliquer, le paiement sera validé, la commande sera placée « En attente » et sera automatiquement traitée une fois que la demande de crédit aura été approuvée et activée.",
Core error occurred during TreviPay payment %1. Please check the exception log for details.,Une erreur de base s'est produite pendant le paiement TreviPay %1. Veuillez consulter le journal des exceptions pour plus de détails.,
Could not assign an unique client reference id to the customer.,Impossible d'attribuer un identifiant de référence client unique à ce client.,
"Could not save an invoice, see error log for details","Impossible d'enregistrer une facture, voir le journal des erreurs pour plus de détails",
Created Webhooks,Webhooks créés,
Credit Information,Informations sur le crédit,
CreditMemo not found,CreditMemo introuvable,
Currency,Devise,
Customer redirected to the TreviPay credit application form.,Le client est redirigé vers le formulaire de demande de crédit TreviPay.,
Debug,Débogage,
Delete Webhooks,Supprimer les webhooks,
Direct Charge,Frais directs,
Easy Checkout,Paiement facile,
Enabled,Activé,
Error occurred during generating uuid,Une erreur s'est produite lors de la génération de l'uuid,
Fast Approval,Approbation rapide,
Features,Fonctionnalités,
Flexible Terms,Conditions flexibles,
Forget Me,M'oublier,
"Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line.",Attendez ! Vous n'avez actuellement pas assez de crédit pour cet achat. Ne vous inquiétez pas ; rendez-vous sur %1 pour demander une augmentation de votre ligne de crédit.,
How it works,Comment ça marche,
"If you already have an account with us, please Sign In instead of applying for a new credit application.","Si vous possédez déjà un compte chez nous, merci de vous identifier au lieu de créer une nouvelle demande de crédit.",
"If you have just applied and haven’t activated the account yet, any pending orders may not be processed correctly.","Si vous venez de déposer une demande et que vous n'avez pas encore activé votre compte, les commandes en attente pourraient ne pas être traitées correctement.",
Invalid amount for a refund.,Montant non valide pour un remboursement.,
Invalid amount for a refund. Refund amount can't be higher than the paid amount.,Montant non valide pour un remboursement. Le montant du remboursement ne peut être supérieur au montant payé.,
Invoice not found,Facture introuvable,
Invoicing Your Way,Facturation sur mesure,
Looking to unlink your TreviPay from this account? Please click <a %2><span>Forget Me</span></a>,Vous souhaitez dissocier votre %1 de ce compte ? Cliquez sur <a %2><span>M'oublier</span></a>,
M2 Customer does not have a TreviPay Buyer ID assigned.,Le client M2 ne dispose pas d'un identifiant d'acheteur TreviPay.,
"Make sure the URL ends with '/' (slash), an example text to be either my_program.b2b.credit/ OR my_program.trevipay.app/","Assurez-vous que l'URL se termine par '/' (slash), par exemple my_program.b2b.credit/ OU my_program.trevipay.app/.",
"Make sure to ""Save Config"" before using this button",Assurez-vous de « Sauvegarder la configuration » avant d'utiliser ce bouton.,
Maximum Order Total,Montant maximal de commande,
Minimum Order Total,Montant minimum de commande,
New Order Status,Statut de la nouvelle commande,
Notes,Notes,
"Oh no! Your TreviPay account is inactive. This can be for many reasons, please visit <a href=""%1"">%2</a> to resolve this matter.","Malheureusement, votre compte %3 est inactif. Il peut y avoir de nombreuses raisons à cela, veuillez visiter <a href=""%1"">%2</a> pour résoudre ce problème.",
Order has no payment method.,La commande n'a pas de mode de paiement.,
Order is not associated with the provided customer.,La commande n'est pas associée au client fourni.,
Order payment method is not TreviPay.,Le mode de paiement de la commande n'est pas %1.,
Page not found.,Page introuvable.,
Partial invoice is not possible because a Gift Card had been used.,Il n'est pas possible d'établir une facture partielle parce qu'une carte-cadeau a été utilisée.,
Partial invoice is not possible because Store Credits had been used.,Il n'est pas possible d'établir une facture partielle parce que des crédits de magasin ont été utilisés.,
Payment Action,Action de paiement,
Payment capturing error.,Erreur de capture de paiement.,
Payment from Applicable Countries,Paiement à partir des pays éligibles,
Payment from Specific Countries,Paiement à partir de pays spécifiques,
Payment method is not enabled,La méthode de paiement n'est pas activée,
Payment Method Logo,Logo du mode de paiement,
Payment not found,Paiement introuvable,
Payment refund error.,Erreur de remboursement de paiement.,
Payment voiding error.,Erreur d'annulation de paiement.,
Payment voiding error. Received status %1,Erreur d'annulation de paiement. Statut reçu %1,
Pending Application Approval,Approbation de la demande en attente,
Place Order,Passer la commande,
Please confirm you want to unlink this account from Trevipay. You will be forced to log in again at next checkout when using this payment type.,Merci de confirmer que vous souhaitez dissocier votre compte de %1. Vous devrez vous identifier à nouveau lors du prochain paiement lorsque vous utiliserez ce type de paiement.,
Please log in before using this payment method.,Veuillez vous connecter avant d'utiliser ce mode de paiement.,
Please note the TreviPay payment method was used for the edited order. After editing the order a totally new payment transaction will be created and as a Seller you will be charged with fees as for any payment transaction.,"Veuillez noter que le mode de paiement TreviPay a été utilisé pour la commande éditée. Après avoir édité la commande, une toute nouvelle transaction de paiement sera créée et, en tant que vendeur, des frais vous seront facturés comme pour toute autre transaction de paiement.",
Please sign in to TreviPay Checkout,Veuillez vous connecter au Paiement %1,
Please sign-in in to TreviPay Checkout after modifying the cart.,Veuillez vous connecter au Paiement %1 avant de modifier votre panier.,
Program URL,URL du programme,
Provide Business Info,Fournir des informations sur l'entreprise,
Purchase Order Number,Numéro du bon de commande,
Purchase Order number is invalid or does not match expected format,Le numéro du bon de commande n'est pas valide ou ne correspond pas au format attendu.,
Purchase Order number is required,Le numéro du bon de commande est requis,
Re-apply for TreviPay,Renouveler la demande de %1,
Refund Offline,Remboursement hors ligne,
Refund Offline is not available,Le remboursement hors ligne n'est pas disponible,
Refunded shipping '%1' is higher than captured shipping '%2',Les frais d'expédition remboursés « %1 » sont supérieurs aux frais d'expédition capturés « %2 »,
Refunded shipping '%1' is higher than invoiced shipping '%2',Les frais d'expédition remboursés « %1 » sont supérieurs aux frais d'expédition facturés « %2 »,
Sandbox API Key,Clé API de Sandbox,
Sandbox API URL,URL de l'API de Sandbox,
Sandbox Mode,Mode Sandbox,
Sandbox Program URL,URL du programme Sandbox,
Sandbox Seller ID,ID du vendeur Sandbox,
Seller ID,ID du vendeur,
Sign In,Se connecter,
Something went wrong in the payment gateway.,Un problème s'est produit au niveau de la passerelle de paiement.,
"Sorry, your application has been cancelled. Please visit <a href=""%1"">%2</a> to resubmit.","Désolé, votre demande a été annulée. Veuillez vous rendre sur <a href=""%1"">%2</a> pour la soumettre à nouveau.",
"Sorry, your application has been declined at this time. You are invited to reapply in 6 months from the initial application date, where we will re-review.","Désolé, votre demande a été rejetée pour le moment. Nous vous invitons à présenter une nouvelle demande dans les six mois à compter de la date de la demande initiale, et nous la réexaminerons.",
"Sorry, your credit application has been denied. Please use another payment method for business purchases.","Désolé, votre demande de crédit a été refusée. Veuillez utiliser un autre mode de paiement pour vos achats professionnels.",
Sort Order,Trier par,
Status,Statut,
Status of the transaction not found.,Statut de la transaction non trouvé.,
Status of the webhooks,Statut des webhooks,
The entity that was requested doesn't exist. Verify the entity and try again.,L'entité demandée n'existe pas. Vérifiez l'entité et réessayez.,
The invoice can't be created without products. Add products and try again.,La facture ne peut pas être générée sans produits. Ajoutez des produits et essayez à nouveau.,
There was an error forgetting your TreviPay Account. Please try again.,Une erreur est survenue lors de la procédure d'oubli de votre compte %1. Veuillez réessayer.,
There was an error processing your request.,Une erreur s'est produite lors du traitement de votre demande.,
There was an error trying to apply for TreviPay.,Une erreur s'est produite lors de la demande de %1.,
There was an error trying to sign in. Please contact support',Une erreur s'est produite lors de la connexion. Veuillez contacter le service d'assistance.,
Title,Titre,
TreviPay authorized amount of %1.,TreviPay a autorisé un montant de %1.,
TreviPay captured amount of %1.,TreviPay a saisi le montant de %1.,
TreviPay does not support multishipping,TreviPay ne permet pas de multi-livraison,
TreviPay payment %1 error: %2,Erreur de paiement TreviPay %1 : %2,
TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet.,La méthode de paiement TreviPay n'est actuellement pas disponible pour ce client car il n'est pas encore enregistré sur TreviPay.,
"TreviPay payment method is currently not available to this customer as their TreviPay buyer status is ""%1"".",La méthode de paiement TreviPay n'est actuellement pas disponible pour ce client car son statut d'acheteur TreviPay est « %1 ».,
"TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1"".",La méthode de paiement TreviPay n'est actuellement pas disponible pour ce client car son statut de client TreviPay est « %1 ».,
TreviPay payment method is currently not available to you. Please visit the TreviPay section to find more details.,La méthode de paiement %1 n'est actuellement pas disponible pour vous. Veuillez vous rendre dans la section %1 pour plus de détails.,
TreviPay Portal,Portail %1,
TreviPay Support Number,Numéro d'assistance TreviPay,
TreviPay TreviPayMagento,TreviPay TreviPayMagento,
trevipay-adjustment-fee,%1-adjustment-fee,
trevipay-adjustment-refund,%1-adjustment-refund,
Unsupported payment action '%1' detected.,Action de paiement non prise en charge '%1' détectée.,
Up to 45 Days to Pay,Jusqu'à 45 jours pour payer,
View TreviPay Invoice,Afficher la facture TreviPay,
"Visit the '%1' Portal to view your invoices, increase your credit line, or make a payment.","Rendez-vous sur le portail '%1' pour consulter vos factures, augmenter votre ligne de crédit ou effectuer un paiement.",
"Visit the <a href=""%1"">TreviPay Portal</a> to view your invoices, increase your credit line, or make a payment.","Rendez-vous sur le <a href=""%1"">portail TreviPay</a> pour consulter vos factures, augmenter votre ligne de crédit ou effectuer un paiement.",
"Visit the TreviPay Portal to view your invoices, increase your credit line, or make a payment.","Consultez le portail TreviPay pour visualiser vos factures, augmenter votre limite de crédit ou effectuer un paiement.",
"We are currently reviewing your enrollment application for TreviPay. This process normally takes around 4 business hours to complete. If we have any questions or an approval, we will reach out to you via email.","Nous examinons actuellement votre demande d'inscription à %1. Ce processus nécessite normalement environ 4 heures ouvrables. En cas de questions ou d'approbation, nous vous contacterons par e-mail.",
We are not able to create a Credit Memo without an Invoice.,Nous ne sommes pas en mesure de créer une note de crédit sans facture.,
We are sorry! An error has occurred and we want to fix it. Please contact %1 at %2 or %3,Nous sommes désolés ! Une erreur s'est produite et nous tenons à la corriger. Veuillez contacter %1 à %2 ou %3,
We are sorry! An error has occurred and we want to fix it. Please contact %1.,Nous sommes désolés ! Une erreur s'est produite et nous tenons à la corriger. Veuillez contacter %1.,
We are sorry! An error has occurred and we want to fix it. Please contact us at %1 or %2,Nous sommes désolés ! Une erreur s'est produite et nous tenons à la corriger. Veuillez nous contacter à %1 ou %2,
We are sorry! An error has occurred and we want to fix it. Please contact us.,Nous sommes désolés ! Une erreur s'est produite et nous tenons à la corriger. Veuillez nous contacter.,
Webhooks created,Webhooks créés,
Webhooks created but the module is disabled!,Webhooks créés mais le module est désactivé !,
Webhooks not created!,Webhooks non créés !,
You are not yet a registered TreviPay user. You will be redirected to the TreviPay credit application form after placing this order. Your order will be processed after approval of your TreviPay credit application and TreviPay user account is created.,Vous ne faites pas encore partie des utilisateurs enregistrés de %1. Vous serez redirigé vers le formulaire de demande de crédit %1 après avoir passé cette commande. Votre commande sera traitée une fois que votre demande de crédit %1 aura été approuvée et que votre compte utilisateur %1 aura été créé.,
"You chose to withdraw your application. Change of mind? Visit <a href=""%1"">%2</a> to re-apply at any time.","Vous avez choisi de retirer votre demande. Avez-vous changé d'avis ? Rendez-vous sur <a href=""%1"">%2</a> pour renouveler votre demande à tout moment.",
"You did not complete your TreviPay Credit Application. Please fill out the form in its entirety, sign and submit at the end.","Vous n'avez pas rempli votre demande de crédit %2. Veuillez remplir le formulaire dans son intégralité, puis signez-le et soumettez-le ensuite.",
You did not complete your TreviPay Credit Application. Please visit the TreviPay section to re-apply.,Vous n'avez pas terminé votre demande de crédit %1. Veuillez consulter la section %1 pour refaire une demande.,
"You have been approved to make purchases on terms! <span %2>[ACTION REQUIRED]</span> Please now check your email for your activation link to complete the setup then your Trevipay credit line is ready for use. This link is valid for 7 days. If the email hasn't arrived, do check in your spam/junk mail folder.","Vous avez reçu l'autorisation d'effectuer des achats sous conditions ! <span %2>[ACTION REQUISE]</span> Veuillez à présent consulter votre e-mail pour obtenir votre lien d'activation afin d'achever la configuration, puis de pouvoir utiliser votre ligne de crédit %1. Ce lien est valable pendant sept jours. Si vous n'avez pas reçu l'e-mail, vérifiez dans votre dossier spam/courrier indésirable.",
Your session has expired. Please sign in again.,Votre session a expiré. Veuillez vous identifier à nouveau.,
Your TreviPay account has been authorized and linked.,Votre compte %1 a été autorisé et lié.,
Your TreviPay Account has been deleted. Please sign in again.,Votre compte %1 a été supprimé. Veuillez vous identifier à nouveau.,
Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase.,Votre compte TreviPay a été suspendu. Cela est probablement dû à de précédents impayés ou à une limite de crédit insuffisante.,
"Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase. Please visit <a href=""%1"">%2</a> to resolve this matter.","Votre compte %3 a été suspendu. Cela est probablement dû à des paiements en retard ou à la nécessité d'augmenter votre ligne de crédit. Veuillez consulter le site <a href=""%1"">%2</a> pour résoudre ce problème.",
Your TreviPay buyer account has been suspended. Please contact your company admin to resolve this matter.,Votre compte acheteur %1 a été suspendu. Veuillez contacter l'administrateur de votre entreprise pour résoudre ce problème.,
"Your TreviPay Credit Application has been approved, and pending setup. <strong>[ACTION REQUIRED]</strong> Please check your email (including spam/junk) to complete the activation via the link within. You can visit the TreviPay section for further detail.",Votre demande de crédit %1 a été acceptée et attend sa mise en place. <strong>[ACTION REQUISE]</strong> Vérifiez vos e-mails (y compris votre dossier spam) pour terminer l'activation via le lien fourni. Vous pouvez consulter la section %1 pour plus d'informations.,
Your TreviPay Credit Application has been cancelled. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 a été annulée. Veuillez consulter la section %1 pour plus d'informations.,
Your TreviPay Credit Application has been declined. Please visit the TreviPay section for further details.,Votre demande de crédit %1 a été refusée. Veuillez consulter la section %1 pour plus d'informations.,
Your TreviPay Credit Application has been withdrawn.,Votre demande de crédit %1 a été retirée.,
Your TreviPay Credit Application has been withdrawn. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 a été retirée. Veuillez consulter la section %1 pour plus d'informations.,
Your TreviPay Credit Application is pending direct debit. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 est en attente de prélèvement. Veuillez consulter la section %1 pour plus d'informations.,
Your TreviPay Credit Application is pending. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 est en attente. Veuillez consulter la section %1 pour plus d'informations.,
Zero Friction,Zéro friction,
